page,reference,text
25,PDF page 25,"24 
 
(2) A no. of meetings of the TAC committee has been held. The TAC committee 
has also taken into account the reports of core consultancy  service   for  developing  
Business  Plan  for  DFCCIL developed by M/s IL&FS and  M/s KPMG - engaged 
under  Technical assistance  (  TA )  component  of  World  Bank  with  the  assigned  
job  of  suggesting  Track  Access  Charge  regime for initial period and fo r non -
discriminatory access  and  methodology  based  upon  the  best  international  practices 
along with track capacity allocation, licensing, safety and transitional issues for 
DFCCIL.  
(3) TAC committee submitted its recommendations on 31.03.2017. The broa d 
principles regarding TAC recommended by TAC committee are as follows:- 
a. The recommended approach is based on achieving full cost recovery through a 
TAC regime that incorporates fixed and variable costs. Variable costs may be 
allocated on a per GTKM basis reflecting the marginal costs incurred by each 
service and fixed costs are allocated on a per train -path basis, with MOR bearing 
the cost of unused train paths in the ramp -up period between scheme opening and 
full capacity utilization. 
b. In view of advantage s of ‘Regulated Asset Base’ (RAB) approach, a dynamic 
model which takes into account the investment and capital recovery, the 
committee is in favour of RAB approach. This model will ensure an arm length 
relationship of MOR with the DFCCIL and will ensure t hat the method of setting 
Track Access Charge is transparent even during the scenario when non -
discriminatory access is permitted by MOR on DFC network. 
c. Track Access Charges each year will cover efficient costs of operation.  This 
revenue requirement includes:  
i. Cost of capital. 
ii. Operating costs.  
iii. Depreciation. 
Where:  
 Cost of capital includes interest on loans, return on equity and interest on 
working capital. 
 Operating costs include operating and maintenance expenditure. 
 Depreciation to be used to pay down the principal of the loan and maintain 
the value of equity by part-funding renewals. 
(4) Railway Board has accorded In Principle Approval to the TAC proposal 
submitted by DFCCIL. In case of single user regime, following component of 
TAC have been mentioned: 
a. O&M Expenses  
b. Depreciation  
c. Interest on loan 
d. Land lease charges @ Re 1/-. 
(5)  DFCCIL is hiring consultancy service on Track Access Charges and Key 
Performance Indicators (KPIs) on DFCCIL network. 
 
 
 
  "
26,PDF page 26,"25 
 
3.4.2 TAC and Revenue Streams in Future years with no change in tariff 
  (In crore) 
Particulars     
Units   2021  2022  2023  
 Total TAC     INR   11,897  12,533  13,020  
Apportioned revenue due to DFC           
Revenues with DFC (Moderate 
Scenario)     INR   31,224  33,416  35,607  
The figures are based on PWC study (2017) 
3.5 Business development 
While    the  major  revenue  generation  for  DFC  will  be  agreed  Track  Access  
charge   between  DFC  and  IR  initially, the   imperative  need  for  adopting  models 
for  additional  business  can’t  be  ruled  out .  The  development  of  catchment  areas 
around  major  junctions  and   the  upcoming  industries  around  the  major  business  
districts  will  provide adequate  business  opportunity  for  DFC. These  are  shortlisted  
presently  as  development  of  MMLPs/Freight terminals, development  of User  
Facilities at  Station  buildings, Advertisements  on Railway  Assets  and  development  
of  Theme  Parks  near  major  industrial  hubs and  attracting non -conventional traffic 
such as Ro-Ro, Automobiles etc.   
3.5.1  Multimodal Logistics Parks/Freight terminals along side DFC. 
The freight traffic on Indian Railways is being handled at goods sheds, private railway 
sidings, container terminals, rail -side Warehouses, bulk terminals etc. In the wake of 
high growth of freight traffic near major production /consumption centres, a need has 
been felt to have multi user, multi -facility and multi -commodity transportation hubs 
serving major centres of economic activity which would be helpful in reducing total 
logistic cost to customers. Such transportation hubs are also known as Multi -Modal 
Logistics Parks. Multi -Modal Logistics Park is defined as a rail -based inter -modal 
traffic handling complex comprising of container terminals, bulk/break -bulk cargo 
terminals, war ehouses, inter -modal transfers, sorting/grading, cold chain, and 
aggregation/dis-aggregation with facilities for mechanized handling along with other 
support services. 
DFCC aims to develop Multi Modal Logistics Parks (MMLP) along with its alignment 
which would yield sizable volume of traffic for the DFC by consolidation of cargo. The 
objective is to enhance the presence and share of rail transport in the overall transport 
chain and attain increased rail freight volumes by offering integrated, efficient and cost 
effective logistics and warehousing options to users.  The proposed MMLPs shall serve 
to increase global competitiveness of domestic users and promote further economic 
activities by facilitating efficient access to business sources and markets. 
Benefits of Logistics Park 
i. Excellent transport links compare to “stand alone” distribution centre with easy 
access to long haul rail network as well as to delivery points in the catchment 
areas by trucking.  
ii. Custom clearance facilities where ever required. 
iii. Round the clock service, being generally located away from congested urban 
settlement areas,  
iv. Cost saving as all the facilities are provided at one location, 
v. Enhance security systems 
vi. Availability of more options for selection of competitive and reliable logisti cs 
service providers. "
27,PDF page 27,"26 
 
At present, DFCCIL is planning to develop logistics parks at New Nilje and New 
Kanpur.   34 locations have been identified for development of logistics parks/freight 
terminal/parcel terminals and feasibility study for these locations is being done 
through consultancy services. DFCCIL is exploring to expand business and will 
further explore possibilities of development of freight terminals at locations in 
addition to the above identified locations. 
3.5.2 Other Opportunities   
The  needs  of  the  customers  arriving  at  and  leaving  from   Station  premises   are  
growing  more  towards  convenience  and  ease  in  terms  of  time  saving, etc.   
Stations being centrally located in the cities, they assume commercial significance 
with increasing population growth and business dynamics.   
Hence,   there are ample  opportunities  to  develop   the  station  premises  and  the  
business  locations   for additional revenue  .  
These may include development of theme Parks  near major industria l hubs, 
development of Serviced  and virtual Office Centres , facilitations for 
Advertisement Gateway & Business Event Hubs, Parking space etc.  by  incurring  
least  investment   for    constant  commercial  source  earning  apart  from  reaping  
benefits   of    customer  facility  and  their  satisfaction derivatives. 
3.6 Consultancy for Technical Assistance under World Bank 
Four Consultancy Studies have since been awarded to different International 
Consultancy Service Agencies who will be studying the res pective areas allotted to 
them for enhancement of technical, institutional, commercial and other allied aspects 
to strengthen and enhance the capacity of DFCCIL to derive investment benefits as a 
game changer in the transport logistics.  
 Four areas have been selected and these are as under:  
1 - Institutional Strengthening Module of DFCCIL (ISMD) 
The primary objective of this module is to review the management and organizational 
structure, control system, processes and procedures, HR system, MIS, and make 
recommendations for DFCCIL to make it an efficient, commercially oriented provider 
of infrastructure services.  The module will therefore review and recommend, capacity 
building, skill development, process re -engineering and system improvement in areas 
such as organization and corporate governance of the company, including management 
and organization structure, human resource planning and development, staff 
training/study tours, financial management, social and environmental systems, 
governance systems etc. 
Consultancy Contract for Engagement of Consultant for Consultancy Services for 
Institutional Strengthening Module of DFCCIL (ISMD) was awarded to M/s CPCS 
Transcom International Limited Barbodos in a Joint Venture with CPCS Transcom 
Limited (Canada). Subjec t Report/Strategy Report have been submitted which are 
under approval. 
2 - Development of Marketing and Commercial Strategies for DFCCIL and its 
Catchment Areas (DMCSD) 
The  main  objective  of  the  assignment  is  to  develop  a  long  term  marketing  and  
commercial strategy and devise step wise plan including policy framework to maximize 
commercial value of the project and to achieve higher modal share for railways in 
freight traffic market. This is to be based on, operational strategy, proposed allied 
infrastructure including freight terminals & logistics parks and induction of special 
purpose rolling stock for DFCCIL & IR taking into account the traffic in catchment 
areas along the two corridors being built and on/through the feeder routes of Indian 
Railways covering followings: 
(i) To validate the demand forecast for different horizon years on DFC up to 2030 "
28,PDF page 28,"27 
 
supported by secondary data as applicable. 
(ii) To identify potential of additional freight traffic in catchment areas of  D FCCIL 
for inc reasing modal sh are of r ail using r elevant experiences of in ternational 
freight market with a view to enhance profitability of  DFCCIL. 
(iii) To develop costing and pricing strategy for promoting modal shift of traffic in 
favour of railways. 
(iv) To suggest possible heavy haul DFC netwo rk including feeder routes embedded 
with existing IR network taking into account operational feasibility and 
associated commercial issues. 
(v) Identify need for special purpose wagons for selected commodities and main 
technical parameters along with financial justification for the same. 
(vi) Propose operational parameters and operational standards covering train length, 
speed, service quality, enhanced services and improvements in infrastructure. 
The  plan,  inter  alia,  should  include  tangible,  actionable  and  time  bound  
monitorable measures for DFCCIL and IR 
Consultancy Contract for Engagement of Consultant for Consultancy Services for 
Development of Marketing and Commercial Strategies for DFCCIL and its Catchment 
Areas (DMCSD) was awarded to M/s Pricewaterhouse Coopers Private Limited in Joint 
Venture with M/s PWC Strategy & (India) Pvt. Ltd., M/s Hamburg Port Consulting 
GmbH, Germany and M/s UNICONSULT Universal Transport Consulting GmbH, 
Germany. Final Report was submitted on 28.03.2019 and it is under pro cess of 
approval. 
 
On the basis of recommendations mentioned in Final Report on ‘Development of 
Marketing and Commercial Strategies for the DFC and its catchment areas’ (DMCSD), the 
following plans are under consideration in DFCCIL: 
(i) Wagon Availability & Sp ecial Designed Wagons: It is recommended in the report 
on DMCSD that Wagon Investment Schemes should be launched for assured wagon 
supply for committed large volume players. A Scheme for Special Designed Wagons 
for transportation of Automobile and Finished  manufacturing goods is also 
recommended. Wagon Investment Scheme for introduction on DFC is under 
consideration and will be issued after consultation with Ministry of Railways. 
(ii) Cargo Consolidation: It is recommended in report on DMCSD that new 
consolidation centers are required at New Nilje, New Tundla, New Shambhu, New 
Mirzapur and New Meerut Cantt, so as to allow freight forwarders to help consolidate 
and form full rakes at these centers. A policy for Freight Forwarders will be 
formulated after consultation with Ministry of Railways. 
(iii)Timetabled and reliable transit :  DFCCIL’s mission is ‘To build a corridor with 
appropriate technology that enables Indian railways to regain its market share of 
freight transport by creating additional capacity and guaranteeing efficient, reliable, 
safe and cheaper options for mobility to its customers’.  To achieve its mission about 
guaranteeing efficient and reliable mobility, DFCCIL is planning to introduce 
‘Timetabled Goods Train’. It will also help to fetch additional tra ffic by transporting 
EXIM Containers, Parcel and Retails, Fruits and Vegetables and Automobiles. 
(iv) Ro-Ro Service: It is recommended in the report that Ro -Ro service can be a tool for 
attracting incremental traffic for transportation of Cement, Wheat, Salt, E dible Oil, 
Fruits & Vegetables and Household appliance. Moreover, there is a scope for "
29,PDF page 29,"28 
 
transporting Commercial Vehicles from manufacturing points to the delivery points. 
A scheme will be introduced after consultation with Ministry of Railways. 
(v) Storage and Warehousing: It is recommended in the report on DMCSD that Storage 
and Warehousing will be require for export rice and retail. In view of the 
recommendation, DFC is in process for assessing the need for provision of such 
facilities at various locations over DFCCIL. For the purpose, an MoU has been signed 
with Central Railside Warehousing Company for setting up of railside warehouses at 
various locations over DFCCIL. It will help DFCCIL to attract sizable volume of 
traffic. Presently, CRWC is conducting feas ibility study and the report will be 
submitted thereafter. 
3. - Heavy Haul Rail Capacity Development in India (HHRCDI) 
The overall objective of the Heavy Haul Research & Development Program will be to 
increase the technical  capacity of India’s railways to  implement heavy -haul freight 
initiatives that will improve the safety, transport capacity, quality, competitiveness and 
share  of India’s rail freight transport services  and  to  prepare  concrete proposals of an 
effective and cost -efficient heavy -haul f reight Research, and capacity Development  
Program including  plans for establishment in India of a world class Heavy -haul 
Research Institute (HHRI). This  will  include  detailed  program  for   development  
and  research  capabilities identifying  the  m ajor  areas  of   the  heavy  haul   Cost  
drivers  viz productivity  enhancements  through  increased  axle  loads, reduced wagon    
requirement, higher pay load  to  tare  weight  ratio, energy saving technologies, 
reduced  human  resource  requirement  &  desired  skill  enhancements.  
Consultancy Contract for Engagement of Consultant for Consultancy Services for 
Heavy Haul Rail Capacity Development in India (HHRCDI) was awarded to M/s 
Deloitte Touch Tohmatsu India Private Limited. Final Report was submi tted on 
01.12.2016 and accepted on 24.03.2017. 
4- Consultancy Services for Non-discriminatory Access for DFCCIL (CSNDAD) 
The objectives of the study are to 
(i) consider options for institutional arrangement for providing non -discriminatory 
access for rail freight train operations;  
(ii) analyse international experience with non-discriminatory access for freight train 
operations and suggest a practical system(s) suitable for application in the 
Indian context,  
(iii) establish a detailed methodology for setting track access charges at start up, and  
(iv) Identify how the institutional arrangements for licensing, regulation of traffic, 
capacity allocation and safety, including the methodology for calculating track 
access charges, would need to change to accommodate multiple users.   
Consultancy Contract for Engagement of Consultant for Consultancy Services for Non -
discriminatory Access for DFCCIL (CSNDAD) was awarded to M/s KPMG Advisory 
Services Private Limited (INDIA) in Joint Venture with M/s JSC KPMG (KPMG 
Russia) and M/s KPMG (KPMG UK ). Final Report submitted in March ’2017 and 
accepted on 23.11.20 
                                                        
  "
30,PDF page 30,"29 
 
CHAPTER – IV 
ORGANIZATIONAL STRUCTURE AND TRAINING 
4.0 DFCCIL has planned a lean manpower organization, with staff and manage rs having 
functional rather than linear responsibilities. During the project delivery phase, 
DFCCIL plans to limit the size of the establishment by using the services of consultants 
for preliminary design, and project management and supervision, as far as possible.  
During the operation phase, DFCCIL will resort to automization  & mechanization to 
optimize staff costs, to the extent possible. To this end international practices like risk 
based maintenance regime combined with intensive monitoring of assets a nd 
mechanized maintenance of the infrastructure has been planned.  
DFCCIL has planned separate staffing structures for the construction and operational 
phases of the project, reflecting the different skill -set requirements of each phase. The 
project delivery organization has a predominance of staff with the requisite engineering 
and related backgrounds, conversant with design, tendering, procurement and 
supervision of works, land acquisition processes, etc. These along with the senior 
management staff are b ased in the DFCCIL headquarters at Delhi. DFCCIL has 
outsourced work packages to General Consultants responsible for the planning, design, 
tendering, systems integration, and supervision of contractors and progress monitoring, 
under the oversight of DFCCIL  officers. DFCCIL staffs are also engaged in critical 
activities like planning, prioritization and integration of different activities/construction 
packages, estimation, budget control, MIS reporting, coordination with the Ministry of 
Railways and other co ncerned Government authorities, etc. functions that can be best 
performed in-house given the public utility character of the project. In the field there 
are 14 Chief General Manager (CGM) offices at suitable locations, to deal with land 
acquisition, yard planning, liaison with government authorities etc. The CGM will also 
do overall monitoring of the work being done at site by construction contractors and the 
General Consultants. 
At the operational stage, DFCCIL will consist of Corporate Headquarters at NOI DA, 
Eastern and Western Corridor Headquarters at Allahabad and Ahmedabad respectively, 
a Training School, keeping  in  view  the  centrality  of  operational  requirement  even  
in  scheduled  train path  running, DFCCIL  has  planned  Operation Control  C entres  
(OCCs)  on  the  two  corridors  i.e.  at Allahabad on EDFC and  at  Ahmedabad on 
WDFC.  Apart  from  these there  will  be a provision  for  replica  control  at  
Corporate  Office of  DFC  to  take  over  and  monitor  during  exigencies/breakdow ns  
as  a  part  of  Disaster  Management  Plan. In the Corridors there will be field offices 
including Integrated Maintenance Depots and Sub -Depots, Track Machines and Ballast 
Depots at suitable locations. The Corporate Headquarters will have the senior m anagers 
and staff of different disciplines of Engineering, Traffic, Finance, HR and 
Administration. Maintenance staff will be stationed at integrated maintenance depots 
located 160 kms apart on the DFCCIL as well as at sub depots located 80 kms apart. 
There will be one control office for each corridor for planning and controlling the 
movement of trains. Operating staff will be located at stations and control offices. Day 
to day working of the maintenance and operation work as well as liaison with Zonal 
Railways and local agencies will be done by the Eastern and Western Corridor 
Headquarters. Eastern and Western Corridors will be headed by Executive Directors, 
who will report to Top Management. Both corridors would be independent cost and 
revenue centres. Pol icy matters, finance, budget, HR, design changes, security, 
purchases, etc. will be managed in the Corporate Headquarters. The Corporate Office 
will also do Business development, coordination with Railway Board and other 
Government Departments. "
31,PDF page 31,"30 
 
4.1Learning & Development Policy of DFCCIL 
 
1. Title & Commencement 
 
This policy will be called the DFCCIL Learning & Development Policy .  It 
will come into force w.e.f 01.10.2018. 
 
2. Learning & Development Philosophy 
 
The Learning & Development initiatives are planned to  be strongly 
aligned with the current and future leadership requirements to achieve 
organizational aspirations articulated in terms of vision, mission and 
objectives. The initiatives will be designed and administered with the 
intent of unlocking the potential of human capital across the organization, 
develop a leadership pipeline at all level and to build critical 
organizational capabilities required for achieving corporate plans. The 
employees in the organization will be given wise exposure to varied 
Learning & Development opportunities based on the business 
requirements and their individual potential. 
 
3. Scope 
This policy applies to all permanent employees and employees on 
deputation.  This policy doesn’t cover employees who are on contract, 
reemployed or consultants. 
 
4. Learning & Development Objectives  
1. To assess, on a regular basis, the learning and development needs of 
both individuals and the organization. 
2. To help employees to attain competence in basic work skills and 
knowledge with regard to their individual responsibilities. 
3. Optimum utilization of the existing resource pool of knowledge within 
the establishment for the growth of organization. 
4. Enable employees to keep abreast with the latest knowledge and skills 
and enable them to undertake current and  future responsibilities in a 
more effective manner. 
5. To provide fair opportunity to all the employees for self -development 
through training. 
6. To create an atmosphere of learning which motivates the employees for 
acquiring higher degree of knowledge and skills 
7. Provide linkages of training activity with overall Human Resource 
function 
 
 
 "
32,PDF page 32,"31 
 
 
5.  Terms and Definitions 
 
a) Training: Training shall include a training programme, seminar, 
convention, workshop, symposium or any other structured learning 
or developmental p rogramme based on organizational needs and/ 
or Training Need Analysis. 
b) Training Year:  Training Year shall mean a period of one year 
commencing from 1st April till 31st March of the subsequent year. 
c) In-house Training Programme: A training programme designed , 
developed and conducted within the Corporation, exclusively for its 
employees, with or without the assistance of external agency (ies). 
d) External Training Programme:  A training programme designed, 
developed and conducted within India, by an outside agency , not 
exclusively for the employees of the Corporation and to which one 
or more employees of the Corporation may be nominated. 
e) Customized Training Programme: Training program conducted by 
external agency in consultation with DFCCIL. 
f) Need-based Programme:  A training programme, designed, 
developed and conducted on the basis of the developmental needs 
felt and identified for the employees concerned in the Training 
Needs Form. 
 
6. Types of Training 
 
 Induction Training  
 Technical Training  
 Refresher Training   
 General Management Training 
 Behavioral Training   
 Leadership Training 
 
7. Nature of Training Areas 
 
a) Essential: Developmental needs which, if not met, may affect job 
performance  
b) Desirable: Developmental needs which are necessary for 
personal development and growth  
c) Short-term: Developmental needs that need to be fulfilled for 
immediate job performance  
d) Long-term: Developmental needs that need to be fulfilled for 
future job performance, in next two years or so. 
 
 "
33,PDF page 33,"32 
 
 
 
8.  Training Target 
 
1. It shall be the endeavor of t he Corporation to provide five man -days  
of need-based training in training year to every employee. 
2. Employees shall make full use of the Learning & Development 
System to support this endeavor to create a learning organization. 
3. To establish learning & devel opment function as mandatory, 
disciplined and scientific activity with special focus on 
implementation of training programs in their respective work area 
through the formation of Core Groups in various areas as directed 
by HR and supported by top management. 
 
 
      9.    Categorization of Programmes 
On the basis of duration, training programmes would be categorized as  
Short-duration: 3 days or less  
Medium-duration:   4-7 days  
Long-duration:   More than 7 days  
Limit on the Number of Programmes 
An employ ee may be nominated for training programmes within the 
limits stipulated herein.  
Short-duration: Maximum of 3 in a year  
Medium-duration:  Maximum of 2 in a year  
Long-duration: Maximum of 1 in a year  
The competent authority will have respective powers t o permit relaxation of 
the limits on the number of training programmes for an employee in a year as 
stipulated above. 
 
    10. Training Code Directory 
 
A training code directory, listing out codes for various -training courses/ 
programmes shall be evolved, maintained and circulated by HR Department 
for uniform compilation and classification of training needs identified and 
training programme attended by employees. The needs may be analyzed on 
the basis of the training course codes give in Code Directory. All such courses, 
which do not appear in Directory, shall be marked as ‘AAAA’ for initial 
consideration/registration. Subsequently these would be reported to HRD for 
inclusion in the Code Directory. 
 
  "
34,PDF page 34,"33 
 
11.  Empanelment of Training Institutes/ Trainers/ Infrastructure Partners  
 
A robust empanelment process shall be developed and managed to identify 
individuals and institutions who could partner with DFCCIL to deliver the 
training mandate of DFCCIL for its employees. Additionally, in the absence of 
a full -fledged Training Centre/Academy this exercise could also be 
undertaken to identify an Infrastructure Provider who can lease their 
premises for DFCCIL to use it for the immediate training delivery needs of 
the organization. Focus should be on identifying long term  partners who are 
aligned to the organizational needs of DFCCIL and are willing to design, 
deliver customized programs both onsite and offsite to DFCCIL. The 
empanelment process will look at the following aspects –  
 
 Placement of advertisements in leading domestic and international 
publications  
 Proactive reaching out to global institutions to be partners to DFCCIL in the 
training delivery mandate  
 Response management to identify the right partners for DFCCIL across 
individuals and institutions  
  Negotiation with individuals and intuitions for specific training delivery 
support and necessary contracting 
 Roll out of the agreed training calendar and necessary monitoring of 
individuals/ intuitions  
 Focus to be on programs which are customized, have pre and post  training 
work and delivery onsite in DFCCIL premises to improve reach and cost 
efficiency 
 
 12.  Training Need Analysis 
 
The objectives of Training Need Analysis are to:-  
1. Systematically identify developmental needs of employees 
2. Integrate so-identified individual needs with organizational needs 
3. Enhance relevance and acceptance of training programmes 
Identification of training needs is done at various levels – 
 Individual Level : Mainly through recommendation from the Annual 
Performance Appraisal System 
 Functional / Departmental Level:  Customized Training programs are 
developed for the departments in consultation with the Departmental 
Heads 
 Organizational Level:  Individual Development Plan obtained from the 
Competency mapping exercise is used to provide specif ic Training to 
bridge the observed the employee skill gaps. 
For assessing training needs of employees, a questionnaire is enclosed as 
annexure IV. 
 
  "
35,PDF page 35,"34 
 
13. Training Delivery 
 
             Training delivery (Internal): 
 
  13.1     Short-term 
 
The internal plan  would involve on the job training in the desired 
areas. A system of continuous assessment and evaluation method will 
also be put in place so as to plan for sharpening the skills and 
capabilities of the employees. As the setting up of the specialized 
training institute with its teaching faculty and other infrastructure 
facilities will take time, the basic training during the construction 
phase will be imparted to the employees by making suitable 
arrangements with the specialized training institute of Indian  
Railways in discipline like Civil, Electrical, S&T, etc. Arrangements 
will also be made with these institutes to design short duration 
modular training courses in specific areas as per the specific needs. 
 
13.2       Long-term 
Since DFCCIL will adopt stat e of the art technology and modern 
international system of maintenance, a specialized training institute 
will be set up. The institute will provide induction training to new 
recruits as well as refresher training at periodical intervals to the 
managerial, supervisory and artisan staff. The training institute will 
be located at National Capital Region of Delhi. The institute will have 
dedicated Principal, Vice Principal, Sr.  Instructors and Instructors of 
specialized disciplines besides other staff. 
 
13.3     Training delivery (External): 
 
The external plan would involve exposure to world class technology, 
practices and corporate culture through specialized training 
programs to be imparted in the training Institutes or through 
seminar, conferences, workshop, etc., talent exchange programme 
with the leading national and international organizations engaged in 
Heavy Haul Freight Railways, employee exchange programme with 
other organization engaged in heavy haul freight movement. 
 
 
14. Training Calendar 
 
A Trainin g Calendar will be prepared every year which covers 
various topics in which training (Domestic as well as International) is 
to be imparted. It will cover grade/level of participants to be 
imparted training, man -days of training and training cost. The 
calendar will be prepared by HR on basis of inputs of training needs 
of various departments.  
 "
36,PDF page 36,"35 
 
15. Training Nomination Process 
HR Department will process the case of nomination of employees for 
attending training. Director in charge will nominate officials for the 
training program. HR Department will issue the nomination letter to the 
employees for participation in the training program. 
16.  Coverage on Policy of Training 
Training is imparted so that the needs of the organization and the 
individuals are met. These needs are driven by an external environment 
as well as the challenges arising internally in DFCCIL. Therefore, the 
entire spectrum of training activities should be shaped to ensure that 
these needs are effectively met.  
Training Policy of DFCCIL for new  recruits will cover training in the 
following forms:-  
 
i. Total period of training for new recruits is approximately 6 -8 months 
depending on the function/category for which they are recruited. This 
is divided as under - 
Induction Training One month 
Corporate Orientation One week 
Technical Training One month to four months depending 
on the function 
Field training  One month 
On the Job training Two months 
  
ii. Additionally, in service training will also be given to officials as under-  
S
N 
Programme Name Eligibility/ Years of Service 
1 Function Related Programmes/ 
Technical Training 
 Junior and Middle Level ( 2 
-5 years) employees of all 
disciplines 
2 Management Development 
Program 
Middle level /E5 –E7 (5– 10 
years of service) 
3 Advanced Management 
Program (including training 
component abroad) 
Middle/Senior Level 
Management: E7/E8  ( 15 -
20 years) 
4 Leadership Training E7/E8 ( 20 -25 years) 
5 Strategic Management Course E8 and above ( 25 -30 years) 
6 Relevant Courses Director/MD  
 
  "
37,PDF page 37,"36 
 
16.1 Mentoring & Coaching 
Due to the large influx of newly recruited officers, there is a 
requirement of imparting training inputs through these interventions. 
Hence, it is essential that the Training System will facilitate on -the-job 
training and prepare material that will enab le mentoring and coaching 
to be more effectively implemented in the organization. 
16.2 Refresher Programme 
 
Refresher level programme will be conducted periodically to sharpen 
functional and cross functional competencies of employees in 
discharging their duties. 
 
16.3  E-Learning 
Programmes designed to be delivered through intranet facilitating self-
learning and evaluation on the topics/subjects, both 
technical/behavioral. 
16.4 Pre-Promotion Training for SC/ST Employees: 
 
HR shall ensure that employees of S cheduled Caste and Scheduled 
Tribe categories are adequately nominated to training programmes.HR 
shall also endeavor to organize pre promotion training programmes 
exclusively for SC/ST employees. 
 
 
 
16.4   Training Facilities for persons with disabilities 
 
In accordance with guidelines issued by Department of personnel and 
Training (DoPT) and Railway Board, post recruitment and pre – 
promotion training facilities will be organized for persons with 
disabilities. Training programs will also be organized for t hem, keeping 
in view any change in job, introduction of new technology, after 
promotion of the employee etc. The venue of the training will be fixed as 
considered suitable for such training. 
 
17.  Foreign Training 
A training programme, conducted outside In dia, wholly or partially to 
address training needs, which are individual and/or, specialized in 
nature. As a part of HR intervention, DFCCIL deputes its employees for 
foreign training in order to provide them with international exposure to 
the best practices in the field of technology and management.  
  "
38,PDF page 38,"37 
 
 
17.1    Objectives: 
 
a) The objective is to provide appropriate training and development 
opportunity to employees to equip them with global practices in 
construction, operation, maintenance and other techno -managerial 
competencies.   
b) To equip that critical mass of employees who have potential to assume 
higher responsibility with global exposure and /or who need such 
training for their competency. 
17.2 Managerial Training: Officers of E-7 and above would be sent for training 
abroad once in four years 
17.3  Technical Training :  Executives/non-executives at all levels can be sent 
for foreign training in functional areas specific to their job requirement 
and also need based foreign training subject to approval of the 
competent authority 
17.4 Training Report: The employee on return from foreign training will 
submit the “Training  Report” within one month of return highlighting 
major learning’s, utility of training etc. and should make a presentation 
of learning to DFCCIL officers. 
17.5 Training  Bond:    For mandatory foreign trainings such as Advanced 
Management     
           Program or in the event of sponsorship to programs exceeding 14 training 
days duration, the concerned employee will be requ ired to execute a 
suitable service bond to serve the organization for a minimum period of 3 
years on return. In the event of his/her failure to do so, he/she will 
undertake to pay back the total cost of the training including airfare, 
TA/DA etc. 
 
17.6  Post training Placement:  The individual would normally be posted for 
a minimum period of 2 years in the area of work for which he/she has 
been deputed for training abroad. 
17.7 Guidelines for participation in foreign training  
With a view to streamline the pr ocess of foreign trainings and to 
ensure uniformity, following guidelines shall be followed: - 
 
1. As per SOP, MD is the Competent Authority to approve foreign 
training abroad. The proposal will be sent to Railway Board for 
approval of training of MD and Directors. 
 
2. All cases of foreign training should be dealt by HR, through Finance 
for MD’s approval. This shall include trainings which are part of 
contracts (system or PMC). In such cases, the concerned corridor will "
39,PDF page 39,"38 
 
send a note along with the provisions of th e contract and scope of 
training for nomination of officers. 
 
3. All cases where DFCCIL expenditure is involved, including DA, per 
diem etc. should be routed through Finance. 
 
4. For trainings/seminars/conferences/workshops/exhibitions which 
are covered under th e World Bank Training Plan, approval/consent 
of World Bank and DEA as per extant guidelines, will be taken. 
 
5. The complete proposals for any foreign visit should be given to HR at 
least 2 months before the scheduled date of journey. 
 
17.8 Guidelines for spo nsoring of senior level executives of DFCCIL for 
Advanced  
 Management Programmes 
 
 Objective 
A corporation is driven by its corporate leaders who are first to envision 
its future and define a strategy for making that vision a reality. It is thus 
essential that senior level executive be provided adequate exposure in 
various aspects of General Management to help them in the effective 
discharge of their duties. This will also help in building a leadership 
pipeline for the future. These Guidelines on advanced management 
programme are aimed as a systematic intervention towards achieving 
this goal and will be a part of the overall training framework of 
DFCCIL. 
 Coverage and Eligibility 
The Guidelines are for consideration of nomination of regular 
executives to sp ecific Advanced Management Programmes being 
conducted by various eminent institutes such as IIMs, ASCI Hyderabad, 
MDI Gurgaon, IMI, New Delhi etc. All executives in the grade of E7 and 
above are eligible to be considered under these guidelines. Nominations 
to these programmes shall however be considered keeping in mind the 
Grade held by the concerned Executive, inter-seniority, previous foreign 
trainings attended, performance, availability of employee, etc. the 
concerned employees must have a minimum of three years’ service left.  
 Duration of the Programme 
The Advance Management Programme as is being run by various 
Management Institutes shall be duly selected and is generally of the 
duration 3 -4 weeks including a foreign training component up to 1 -2 
weeks.  "
